state,x,y
Rajasthan,-243.0,134.0
Gujarat,-293.0,23.0
Maharashtra,-210.0,-94.0
Madhya Pradesh,-118.0,17.0
Goa,-254.0,-236.0
Kerala,-181.0,-387.0
Karnataka,-200.0,-259.0
Tamil Nadu,-120.0,-376.0
Andhra Pradesh,-101.0,-255.0
Telangana,-101.0,-159.0
Chhattisgarh,-7.0,-50.0
Odisha,70.0,-73.0
Jharkhand,89.0,22.0
Bihar,105.0,95.0
Uttar Pradesh,-37.0,128.0
Uttarakhand,-89.0,238.0
Haryana,-168.0,209.0
Punjab,-196.0,270.0
Jammu And Kashmir,-160.0,377.0
Himachal Pradesh,-147.0,306.0
West Bengal,163.0,19.0
Sikkim,179.0,151.0
Assam,302.0,134.0
Arunachal Pradesh,328.0,200.0
Mizoram,307.0,43.0
Tripura,273.0,49.0
Manipur,342.0,130.0
Nagaland,336.0,84.0
Meghalaya,250.0,105.0
